id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,month,season_relevance,name_length,image_path
37789,2,Apparel,Topwear,104,16,3,2012,Formal,John Players Men Formal Lavender Shirt,6.0,relevant,38,37789.jpg
4654,4,Footwear,Sandal,111,25,3,2011,Casual,ADIDAS Women Receptor Navy Sandal,6.0,relevant,33,4654.jpg
36979,4,Accessories,Bags,22,32,0,2012,Casual,Lino Perros Women Purple Clutch,,irrelevant,31,36979.jpg
13501,2,Apparel,Topwear,134,44,1,2011,Casual,Chimp Men Daku Mentatry White Tshirts,9.0,relevant,37,13501.jpg
39266,2,Footwear,Shoes,19,1,4,2018,Casual,Red Chief Men Black Casual Shoes,12.0,relevant,32,39266.jpg
12590,3,Apparel,Topwear,134,44,1,2011,Casual,Tantra Unisex Printed White Tshirts,9.0,relevant,35,12590.jpg
57491,2,Footwear,Shoes,41,4,3,2012,Casual,Lee Cooper Men Brown Formal Shoes,6.0,relevant,33,57491.jpg
57475,2,Footwear,Sandal,100,1,3,2012,Casual,ID Men Black Sandals,6.0,relevant,20,57475.jpg
33903,2,Accessories,Watches,140,44,0,2017,Casual,Citizen Men White Dial Watch,,irrelevant,28,33903.jpg
39124,4,Apparel,Bottomwear,66,0,1,2012,Casual,Aneri Women Beige Leggings,9.0,relevant,26,39124.jpg
14607,2,Accessories,Socks,110,4,0,2011,Casual,United Colors of Benetton Men Stripes Brown Socks,,irrelevant,49,14607.jpg
20274,4,Footwear,Shoes,51,44,4,2015,Casual,Catwalk Women Casual White Flats,12.0,relevant,32,20274.jpg
57661,4,Personal Care,Nails,84,11,2,2017,Casual,Lotus Herbals Gold Mist Nail Polish 972,3.0,relevant,39,57661.jpg
16548,2,Apparel,Topwear,104,44,1,2011,Casual,Basics Men White Slim Fit Checked Shirt,9.0,relevant,39,16548.jpg
17076,4,Accessories,Belts,7,33,0,2015,Casual,Lino Perros Women Stripes White Belt,,irrelevant,36,17076.jpg
23294,2,Accessories,Watches,140,44,0,2016,Casual,Maxima Men White Steel Watch,,irrelevant,28,23294.jpg
58571,2,Apparel,Bottomwear,107,1,3,2012,Casual,Puma Men Black Shorts,6.0,relevant,21,58571.jpg
15328,2,Apparel,Topwear,119,2,1,2011,Sports,Nike Men Solid Blue Sweaters,9.0,relevant,28,15328.jpg
13545,4,Footwear,Shoes,38,1,1,2011,Casual,Carlton London Women Casual Black Sandals,9.0,relevant,41,13545.jpg
25199,4,Accessories,Bags,48,0,0,2015,Casual,Lino Perros Women Leatherette Beige Handbag,,irrelevant,43,25199.jpg
36440,2,Footwear,Shoes,112,1,2,2013,Sports,Spinn Men Cubic Black Sports Shoes,3.0,relevant,34,36440.jpg
5478,2,Footwear,Shoes,112,44,3,2011,Sports,Nike Men's T-Lite Leather White Shoe,6.0,relevant,36,5478.jpg
56659,2,Footwear,Shoes,19,1,3,2012,Casual,United Colors of Benetton Men Black Shoes,6.0,relevant,41,56659.jpg
22774,4,Apparel,Topwear,64,27,1,2011,Ethnic,BIBA OUTLET Women Printed Off White Kurti,9.0,relevant,41,22774.jpg
24130,2,Apparel,Topwear,134,44,1,2011,Casual,ADIDAS Men Printed White T-shirt,9.0,relevant,32,24130.jpg
4517,2,Footwear,Shoes,112,1,3,2015,Sports,Puma Men Tazon II Black Sports Shoes,6.0,relevant,36,4517.jpg
32264,4,Apparel,Innerwear,13,1,3,2014,Casual,Enamor Women Black Bra,6.0,relevant,22,32264.jpg
54604,2,Apparel,Innerwear,15,33,3,2016,Casual,Jockey ELANCE Men Red Briefs 1004,6.0,relevant,33,54604.jpg
8774,2,Apparel,Topwear,104,2,1,2011,Casual,Indigo Nation Men Blue Check Shirt,9.0,relevant,34,8774.jpg
17051,2,Footwear,Sandal,100,40,2,2013,Casual,Gas Men Venice Slipper,3.0,relevant,22,17051.jpg
42870,4,Accessories,Bags,48,32,0,2012,Casual,French Connection Women Purple Handbag,,irrelevant,38,42870.jpg
28735,4,Apparel,Topwear,63,4,3,2012,Ethnic,W Women Printed Brown Kurta,6.0,relevant,27,28735.jpg
57820,4,Apparel,Topwear,127,2,3,2012,Casual,United Colors of Benetton Women Blue Top,6.0,relevant,40,57820.jpg
14646,2,Apparel,Topwear,134,19,1,2011,Casual,Probase Men Funky Music Maroon Tshirts,9.0,relevant,38,14646.jpg
2836,2,Apparel,Topwear,134,32,3,2011,Casual,Mr.Men Men's Mr.Mischief Wine T-shirt,6.0,relevant,37,2836.jpg
31310,4,Apparel,Topwear,63,44,3,2012,Ethnic,W Women White Printed Kurta,6.0,relevant,27,31310.jpg
7680,4,Accessories,Socks,110,2,0,2016,Casual,Wrangler Women's Blue Ankle Length Socks,,irrelevant,40,7680.jpg
5492,2,Apparel,Topwear,134,2,3,2011,Casual,Mr.Men Men's Cool Indigo T-shirt,6.0,relevant,32,5492.jpg
5143,4,Apparel,Topwear,134,44,3,2011,Casual,Wrangler Women's Reverse Striper White T-shirt,6.0,relevant,46,5143.jpg
43686,0,Apparel,Topwear,134,44,3,2012,Casual,Doodle Boys Printed White T-shirt,6.0,relevant,33,43686.jpg
15752,2,Apparel,Innerwear,53,25,3,2016,Casual,Facit Men Bicep Tee Navy Blue Innerwear Vest,6.0,relevant,44,15752.jpg
35545,1,Footwear,Sandal,100,4,3,2012,Casual,Enroute Teens Brown Sandals,6.0,relevant,27,35545.jpg
30050,2,Accessories,Watches,140,8,0,2016,Casual,SKAGEN DENMARK Men Silver-Toned Dial Watch 668XLRLZD,,irrelevant,52,30050.jpg
41827,4,Footwear,Shoes,112,44,3,2012,Sports,Skechers Women White Sports Shoes,6.0,relevant,33,41827.jpg
15355,2,Footwear,Shoes,19,25,4,2018,Casual,Red Tape Men Navy Blue Shoes,12.0,relevant,28,15355.jpg
53508,4,Apparel,Innerwear,13,44,4,2015,Casual,Amante White Full-Coverage Bra BFOM12,12.0,relevant,37,53508.jpg
58962,2,Personal Care,Fragrance,91,37,0,2017,Casual,Colour me Men Silver Perfume,,irrelevant,28,58962.jpg
56995,4,Footwear,Shoes,51,32,4,2012,Casual,HM Women Purple Wedges,12.0,relevant,22,56995.jpg
20227,4,Apparel,Topwear,119,12,1,2011,Casual,Wrangler Women Solid Green Sweater,9.0,relevant,34,20227.jpg
51602,4,Apparel,Bottomwear,56,2,1,2012,Casual,Wrangler Women Blue Molly Jeans,9.0,relevant,31,51602.jpg
38544,2,Footwear,Shoes,19,1,4,2012,Casual,Puma Men Black Suede Archive Eco Shoes,12.0,relevant,38,38544.jpg
9595,2,Apparel,Topwear,104,1,1,2011,Casual,Scullers Men Scul Black Shirts,9.0,relevant,30,9595.jpg
18411,4,Footwear,Shoes,112,44,3,2012,Sports,Skechers Women Shape-Ups White Shoe,6.0,relevant,35,18411.jpg
50278,2,Footwear,Shoes,41,4,3,2012,Formal,Arrow Men Brown Formal Shoes,6.0,relevant,28,50278.jpg
29575,2,Footwear,Shoes,19,6,3,2012,Casual,Vans Men Era Charcoal Shoes,6.0,relevant,27,29575.jpg
57500,2,Footwear,Sandal,100,4,3,2012,Casual,Lee Cooper Men Brown Sandals,6.0,relevant,28,57500.jpg
26171,4,Footwear,Shoes,38,11,4,2014,Casual,Rocia Women Gold Casual Sandals,12.0,relevant,31,26171.jpg
45322,4,Footwear,Shoes,51,0,3,2016,Casual,Cobblerz Women Beige & Blue Wedges,6.0,relevant,34,45322.jpg
11357,4,Apparel,Topwear,120,1,1,2011,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,9.0,relevant,62,11357.jpg
27359,2,Apparel,Topwear,134,1,1,2011,Casual,Tantra Men After The Fight Black T-shirt,9.0,relevant,40,27359.jpg
4024,3,Footwear,Shoes,19,2,3,2011,Casual,ADIDAS Unisex High Can Blue Shoe,6.0,relevant,32,4024.jpg
12402,2,Accessories,Socks,110,44,0,2016,Formal,Reid & Taylor Men Solid White Socks,,irrelevant,35,12402.jpg
43204,2,Accessories,Watches,140,1,0,2016,Casual,Fastrack Men Black Dial Watch,,irrelevant,29,43204.jpg
49831,4,Footwear,Flip Flops,39,2,4,2012,Casual,iPanema Women Blue Flip Flops,12.0,relevant,29,49831.jpg
5262,3,Accessories,Bags,2,2,0,2015,Casual,Wildcraft Unisex Blue & Grey Printed Backpack,,irrelevant,45,5262.jpg
47267,2,Apparel,Innerwear,15,1,3,2016,Casual,FCUK Underwear Men Black Striped Brief,6.0,relevant,38,47267.jpg
29062,2,Apparel,Topwear,134,1,3,2012,Casual,ADIDAS Men Fluid Black T-shirt,6.0,relevant,30,29062.jpg
47434,4,Accessories,Bags,48,32,0,2012,Casual,Baggit Women Purple Handbag,,irrelevant,27,47434.jpg
50829,2,Accessories,Belts,7,1,0,2013,Formal,New Hide Men Black Belt,,irrelevant,23,50829.jpg
43632,4,Apparel,Dress,28,1,3,2012,Casual,Vero Moda Women Black Dress,6.0,relevant,27,43632.jpg
49057,4,Accessories,Jewellery,94,37,0,2013,Casual,Lucera Women Silver Ring,,irrelevant,24,49057.jpg
51145,2,Accessories,Socks,110,1,0,2016,Casual,Parx Men Black Socks,,irrelevant,20,51145.jpg
19827,2,Apparel,Topwear,104,33,1,2011,Casual,U.S. Polo Assn. Men Check Red Shirt,9.0,relevant,35,19827.jpg
28024,2,Apparel,Innerwear,15,44,3,2016,Casual,Jockey ELANCE Men Pack Of 2 Briefs 1004,6.0,relevant,39,28024.jpg
5082,2,Apparel,Topwear,134,2,3,2011,Casual,Wrangler Men's Minstrel Shoulder Loop Blue T-shirt,6.0,relevant,50,5082.jpg
8724,2,Apparel,Topwear,104,33,1,2011,Casual,Indigo Nation Men Checks Red Shirts,9.0,relevant,35,8724.jpg
36435,2,Footwear,Shoes,19,44,2,2013,Casual,Spinn Men White & Navy Blue Shoes,3.0,relevant,33,36435.jpg
19921,3,Accessories,Bags,2,45,0,2015,Casual,Wildcraft Unisex Gear for Life Yellow Backpack,,irrelevant,46,19921.jpg
4343,2,Footwear,Shoes,19,33,3,2011,Casual,Fila Men Leonard Red Shoes,6.0,relevant,26,4343.jpg
21572,2,Accessories,Socks,110,22,0,2015,Casual,Lino Perros Men Pack of Five Striped Socks,,irrelevant,42,21572.jpg
30528,4,Apparel,Innerwear,13,1,3,2014,Casual,Lovable Cotton Essensuals Black Bra,6.0,relevant,35,30528.jpg
34148,1,Apparel,Bottomwear,109,2,3,2012,Casual,Gini and Jony Girls Washed Blue Skirt,6.0,relevant,37,34148.jpg
42647,4,Apparel,Topwear,63,32,3,2012,Ethnic,Alma Women Purple Printed Kurta,6.0,relevant,31,42647.jpg
51904,4,Accessories,Bags,48,33,0,2016,Casual,Nyk Women Red Pacifier Handbag,,irrelevant,30,51904.jpg
27482,4,Apparel,Innerwear,13,31,4,2015,Casual,Jockey Essence Pink Bra 2004,12.0,relevant,28,27482.jpg
33078,2,Apparel,Topwear,134,25,3,2012,Casual,U.S. Polo Assn. Denim Co. Men Printed Navy Blue T-Shirt,6.0,relevant,55,33078.jpg
11833,2,Footwear,Shoes,19,12,3,2013,Casual,Playboy Men Casual Green Casual Shoes,6.0,relevant,37,11833.jpg
56988,4,Footwear,Shoes,38,4,4,2012,Casual,HM Women Brown Sandals,12.0,relevant,22,56988.jpg
17889,2,Apparel,Innerwear,53,33,3,2016,Casual,Levis Men Cruiser Red Innerwear Vest,6.0,relevant,36,17889.jpg
44996,2,Accessories,Watches,140,44,0,2016,Casual,Maxima Men White Dial Watch,,irrelevant,27,44996.jpg
6819,4,Footwear,Flip Flops,39,33,3,2011,Casual,Timberland Women's Estela Umbrella Red Flip Flop,6.0,relevant,48,6819.jpg
50655,2,Apparel,Loungewear and Nightwear,74,14,3,2018,Sports,Chromozome Men Grey Melange Lounge Shorts,6.0,relevant,41,50655.jpg
31152,0,Apparel,Topwear,134,45,3,2012,Casual,Gini and Jony Boys Printed Yellow T-shirt,6.0,relevant,41,31152.jpg
9933,2,Apparel,Topwear,134,13,1,2011,Casual,Basics Men Grey Polo T-shirt,9.0,relevant,28,9933.jpg
20532,4,Accessories,Wallets,139,1,0,2015,Casual,Baggit Women Lamboo Taj Black Wallet,,irrelevant,36,20532.jpg
32413,2,Apparel,Topwear,134,1,3,2012,Casual,ADIDAS Men Peace Black T-shirt,6.0,relevant,30,32413.jpg
30834,4,Apparel,Topwear,63,2,3,2012,Ethnic,Fabindia Women Blue Kurta,6.0,relevant,25,30834.jpg
25242,4,Accessories,Bags,48,28,0,2012,Casual,Lino Perros Women Leatherite Olive Handbag,,irrelevant,42,25242.jpg
38324,3,Free Items,Free Gifts,44,2,3,2012,Casual,Puma Unisex Blue Backpack,6.0,relevant,25,38324.jpg
55532,4,Personal Care,Makeup,42,38,2,2017,Casual,Revlon Touch And Glow Golden Mist Moisturising Make up 07,3.0,relevant,57,55532.jpg
19715,2,Apparel,Topwear,104,2,1,2011,Casual,United Colors of Benetton Men Blue Check Shirt,9.0,relevant,46,19715.jpg
3734,2,Apparel,Topwear,134,32,3,2011,Sports,Kochi Tuskers Mens Replica Jersey,6.0,relevant,33,3734.jpg
29444,2,Accessories,Watches,140,1,0,2016,Casual,Giordano Men Black Dial Watch,,irrelevant,29,29444.jpg
47456,4,Footwear,Flip Flops,39,1,1,2012,Casual,Tiptopp Women Orange Flip Flops,9.0,relevant,31,47456.jpg
30782,2,Apparel,Topwear,63,44,3,2012,Ethnic,Fabindia Men White Mangalgiri Kurta,6.0,relevant,35,30782.jpg
59632,4,Apparel,Saree,101,28,1,2012,Ethnic,FNF Olive Wedding Collection Sari,9.0,relevant,33,59632.jpg
4507,2,Footwear,Shoes,112,44,3,2011,Sports,Lotto Men's Zurigo White Blue Shoe,6.0,relevant,34,4507.jpg
54016,4,Accessories,Bags,48,33,0,2012,Casual,Kiara Women Red Handbag,,irrelevant,23,54016.jpg
6314,2,Apparel,Topwear,134,4,3,2011,Casual,UCB Men's Striper Basic Brown T-shirt,6.0,relevant,37,6314.jpg
50165,4,Footwear,Shoes,51,1,4,2012,Casual,Rocia Women Black Wedges,12.0,relevant,24,50165.jpg
16947,4,Accessories,Eyewear,116,4,0,2016,Casual,Image Women Classic Eyewear Brown Sunglasses,,irrelevant,44,16947.jpg
24312,2,Apparel,Bottomwear,107,25,1,2011,Casual,ADIDAS Men Navy Blue Shorts,9.0,relevant,27,24312.jpg
3354,2,Apparel,Topwear,134,44,3,2011,Casual,Myntra Men's I Give 100 Percent Work White T-shirt,6.0,relevant,50,3354.jpg
2591,4,Apparel,Topwear,127,1,3,2011,Casual,Tribord Women Tankini Black Top,6.0,relevant,31,2591.jpg
